InstrumentID,TradingDay,UpdateTime,UpdateMillisec,RefUpdateTime,RefUpdateMillisec,LastPrice,Volume,LastVolume,Turnover,LastTurnover,AskPrice5,AskPrice4,AskPrice3,AskPrice2,AskPrice1,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,AskVolume5,AskVolume4,AskVolume3,AskVolume2,AskVolume1,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,OpenInterest,UpperLimitPrice,LowerLimitPrice,HighestPrice,LowestPrice,PreClosePrice
SZ127080,20230619,13:19:30,000,13:19:30,487377,192.17000000,14248515,4020,2603415852.00000000,772646.00000000,192.35500000,192.34800000,192.34000000,192.33900000,192.33700000,192.20100000,192.20000000,192.17000000,192.16300000,192.12700000,60,1050,30,540,30,70,160,60,90,180,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:33,000,13:19:33,495519,192.23100000,14255595,7080,2604777434.00000000,1361582.00000000,192.45400000,192.37200000,192.35600000,192.35400000,192.34900000,192.23100000,192.23000000,192.22700000,192.22600000,192.21100000,180,170,40,10,70,40,110,310,40,60,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:36,000,13:19:36,497297,192.23000000,14259505,3910,2605529088.00000000,751654.00000000,192.33500000,192.33200000,192.33100000,192.32400000,192.31900000,192.23000000,192.22700000,192.21000000,192.20400000,192.19400000,10,100,500,60,50,10,20,60,50,40,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:39,000,13:19:39,485932,192.23100000,14264255,4750,2606442578.00000000,913490.00000000,192.45000000,192.42200000,192.41900000,192.41800000,192.41300000,192.35400000,192.23100000,192.22800000,192.22700000,192.21800000,160,70,240,160,60,10,80,180,670,60,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:42,000,13:19:42,495753,192.12500000,14270105,5850,2607566984.00000000,1124406.00000000,192.13900000,192.13700000,192.12900000,192.12800000,192.12500000,192.01100000,192.00000000,191.99900000,191.99000000,191.95000000,60,40,40,180,30,40,80,1460,50,50,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:45,000,13:19:45,474669,192.07800000,14274965,4860,2608499947.00000000,932963.00000000,192.10600000,192.10000000,192.09900000,192.09400000,192.07800000,191.94400000,191.93900000,191.93800000,191.93200000,191.92900000,90,90,180,150,10,70,70,60,60,30,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:48,000,13:19:48,486237,191.98900000,14285365,10400,2610498403.00000000,1998456.00000000,192.00900000,191.99900000,191.99400000,191.98900000,191.98800000,191.90300000,191.89300000,191.85400000,191.83900000,191.80000000,40,30,60,40,50,50,40,230,40,630,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:51,000,13:19:51,463766,191.89500000,14288185,2820,2611039593.00000000,541190.00000000,191.93900000,191.93800000,191.92800000,191.92700000,191.92300000,191.88000000,191.81100000,191.79200000,191.78700000,191.74600000,1200,20,20,30,60,60,60,20,40,340,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:54,000,13:19:54,487724,192.03800000,14296675,8490,2612669976.00000000,1630383.00000000,192.23000000,192.21100000,192.20000000,192.16500000,192.16000000,192.04400000,192.04300000,192.03900000,192.03800000,192.03400000,60,490,210,120,60,30,100,320,70,100,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:19:57,000,13:19:57,475293,192.36500000,14306145,9470,2614490478.00000000,1820502.00000000,192.51000000,192.50100000,192.50000000,192.49000000,192.45600000,192.36600000,192.36500000,192.35100000,192.34100000,192.31700000,60,470,860,20,20,30,10,30,20,80,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:00,000,13:20:00,495994,192.04500000,14308925,2780,2615024729.00000000,534251.00000000,192.19000000,192.16500000,192.15100000,192.14600000,192.14500000,192.03600000,192.02900000,192.02600000,192.00000000,191.99900000,40,80,110,60,70,290,60,80,4760,10,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:03,000,13:20:03,486190,191.95300000,14315805,6880,2616345635.00000000,1320906.00000000,192.00800000,191.99100000,191.96700000,191.95300000,191.95200000,191.85100000,191.85000000,191.80000000,191.79000000,191.78700000,240,40,40,210,160,30,20,30,20,140,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:06,000,13:20:06,485321,192.04400000,14319635,3830,2617081121.00000000,735486.00000000,192.14500000,192.14400000,192.14000000,192.09700000,192.09200000,192.00000000,191.94300000,191.93600000,191.93000000,191.92400000,30,180,90,140,60,40,100,60,60,60,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:09,000,13:20:09,497328,191.85100000,14321965,2330,2617528269.00000000,447148.00000000,191.94100000,191.93900000,191.92300000,191.91300000,191.85100000,191.80200000,191.80000000,191.79000000,191.78700000,191.74600000,100,160,220,60,80,20,60,20,140,140,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:12,000,13:20:12,485879,191.85300000,14329305,7340,2618937038.00000000,1408769.00000000,192.04500000,192.03600000,192.00000000,191.98800000,191.94300000,191.85300000,191.82600000,191.82000000,191.79000000,191.78700000,920,930,750,130,290,30,50,20,10,10,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:15,000,13:20:15,484773,191.85000000,14332865,3560,2619620029.00000000,682991.00000000,191.92400000,191.90000000,191.89500000,191.88900000,191.85100000,191.72600000,191.72100000,191.72000000,191.71700000,191.71600000,70,160,100,100,220,340,100,160,30,160,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:18,000,13:20:18,486076,191.80200000,14335205,2340,2620068896.00000000,448867.00000000,191.94300000,191.92400000,191.90000000,191.89900000,191.89400000,191.80100000,191.80000000,191.76100000,191.75900000,191.74900000,10,970,160,60,60,30,10,80,60,60,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:21,000,13:20:21,487371,191.94300000,14340225,5020,2621032029.00000000,963133.00000000,192.04400000,192.03600000,192.01200000,192.00800000,192.00000000,191.94300000,191.92700000,191.92400000,191.90200000,191.86300000,270,580,440,10,600,230,50,240,70,160,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:24,000,13:20:24,473902,191.97800000,14347555,7330,2622440237.00000000,1408208.00000000,192.12500000,192.12100000,192.10200000,192.10000000,192.09900000,191.97300000,191.96900000,191.96800000,191.96700000,191.96600000,100,30,60,120,20,100,90,210,160,80,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:27,000,13:20:27,495375,192.29700000,14352745,5190,2623437524.00000000,997287.00000000,192.33300000,192.31800000,192.30000000,192.29700000,192.29200000,192.16200000,192.16100000,192.15300000,192.15200000,192.14100000,70,20,300,120,60,180,100,70,90,100,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:30,000,13:20:30,485013,192.04400000,14354565,1820,2623787202.00000000,349678.00000000,192.25100000,192.20100000,192.17900000,192.13800000,192.13300000,192.04000000,192.02400000,192.00100000,192.00000000,191.99900000,180,40,40,140,60,300,40,290,340,10,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:33,000,13:20:33,485865,192.13200000,14359085,4520,2624655346.00000000,868144.00000000,192.17800000,192.17700000,192.16200000,192.13900000,192.13200000,192.02800000,192.02500000,192.02000000,192.01400000,192.00400000,50,180,60,20,30,120,60,60,160,100,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:36,000,13:20:36,487323,192.02900000,14364325,5240,2625661536.00000000,1006190.00000000,192.07800000,192.06300000,192.04800000,192.03000000,192.02900000,192.00000000,191.90000000,191.85500000,191.85100000,191.85000000,100,100,20,300,160,3920,10,40,400,20,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:39,000,13:20:39,496941,192.04000000,14366415,2090,2626062893.00000000,401357.00000000,192.12800000,192.12700000,192.10000000,192.09400000,192.09300000,192.04000000,192.01600000,192.01500000,192.01000000,192.00000000,770,40,20,60,160,230,30,90,30,4880,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:42,000,13:20:42,484520,191.87400000,14372335,5920,2627199531.00000000,1136638.00000000,191.94400000,191.93900000,191.93700000,191.93600000,191.87400000,191.86000000,191.85500000,191.85100000,191.85000000,191.82000000,160,150,290,50,80,10,40,500,20,450,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:45,000,13:20:45,487156,191.93500000,14372645,310,2627259020.00000000,59489.00000000,191.94400000,191.93900000,191.93700000,191.93600000,191.93500000,191.88000000,191.87800000,191.87000000,191.86400000,191.86000000,160,150,120,160,50,20,60,60,60,10,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:48,000,13:20:48,484232,191.87800000,14373795,1150,2627479721.00000000,220701.00000000,192.00000000,191.97000000,191.96000000,191.95000000,191.94300000,191.87800000,191.87400000,191.87000000,191.86400000,191.86000000,2240,20,40,90,100,30,1100,60,60,30,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:51,000,13:20:51,487165,191.93500000,14374535,740,2627621742.00000000,142021.00000000,192.00000000,191.97000000,191.96000000,191.94000000,191.93900000,191.93500000,191.89000000,191.87800000,191.87400000,191.87000000,2240,20,40,720,60,300,410,30,1330,60,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
SZ127080,20230619,13:20:54,000,13:20:54,487215,191.92100000,14375765,1230,2627857822.00000000,236080.00000000,192.04000000,192.02800000,192.00000000,191.97000000,191.96000000,191.91700000,191.91400000,191.89100000,191.89000000,191.87800000,3130,530,2790,20,40,30,70,60,410,40,0,202.79800000,135.19800000,193.50000000,169.00000000,168.99800000
