BeginTime: 11:13:16
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:172 Init] Order: 803210
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:173 Init] Transaction: 766489
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34302(09:31:42), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138305360000(9:31:45  360), refUpdateTimeSpan:1687138305378082(9:31:45 378082), orderPrice:169.845000, orderVolume:10, isBuy:0, askOrderID:169993, bidOrderID:160085, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34305(09:31:45), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138308830000(9:31:48  830), refUpdateTimeSpan:1687138308848970(9:31:48 848970), orderPrice:0.000000, orderVolume:100, isBuy:0, askOrderID:142034, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34308(09:31:48), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138311000000(9:31:51  0), refUpdateTimeSpan:1687138311015770(9:31:51 15770), orderPrice:170.692000, orderVolume:20, isBuy:1, askOrderID:125452, bidOrderID:174984, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34311(09:31:51), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138314230000(9:31:54  230), refUpdateTimeSpan:1687138314245166(9:31:54 245166), orderPrice:0.000000, orderVolume:60, isBuy:0, askOrderID:177038, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34314(09:31:54), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138317200000(9:31:57  200), refUpdateTimeSpan:1687138317219676(9:31:57 219676), orderPrice:170.489000, orderVolume:90, isBuy:1, askOrderID:179399, bidOrderID:179540, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34317(09:31:57), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138320030000(9:32:0  30), refUpdateTimeSpan:1687138320050252(9:32:0 50252), orderPrice:170.600000, orderVolume:120, isBuy:0, askOrderID:181518, bidOrderID:181395, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34320(09:32:00), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138323050000(9:32:3  50), refUpdateTimeSpan:1687138323078073(9:32:3 78073), orderPrice:170.574000, orderVolume:10, isBuy:1, askOrderID:184126, bidOrderID:184136, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34323(09:32:03), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138326060000(9:32:6  60), refUpdateTimeSpan:1687138326244634(9:32:6 244634), orderPrice:170.457000, orderVolume:10, isBuy:0, askOrderID:187806, bidOrderID:187579, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34326(09:32:06), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138329000000(9:32:9  0), refUpdateTimeSpan:1687138329013240(9:32:9 13240), orderPrice:0.000000, orderVolume:100, isBuy:1, askOrderID:0, bidOrderID:189764, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34329(09:32:09), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138332000000(9:32:12  0), refUpdateTimeSpan:1687138332016007(9:32:12 16007), orderPrice:0.000000, orderVolume:20, isBuy:0, askOrderID:191430, bidOrderID:0, isCancel:1], pendingTransactions: 0
